"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","6.3","6.8","7.6","8.4","8.4","7.8","7.4","5.5","3.6","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Czechia","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9","40.5","37.8","34","30.1","25.7","23.2","21.2","20.8","19.9","19","17.5","16","14.3","13.2","12.8","12.7","12.2","11.9","11.9","12.3","12.9","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.7","2.5","2.5","2.5","2.8","3.8","4.8","5.6","6.1","6.4","7","8","9.4","10.1","11.9","13.4","14","13.4","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","22.7","23.7","23.2","19.3","16.5","16.4","16.2","15.5","13.5","11.7","10.4","9.2","8.4","7.4","6.7","6","5.8","6.3","6.2","5.8","4.6","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","6.8","6.5","6.5","6.2","6","5.5","5.2","4.8","4.1","3.6","3.1","2.9","2.7","2.6","2.6","2.5","2.5","2.5","2.5","2.5","2.5","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4409600609277","12.8249336286796","11.9819008027406","11.2801526686867","10.4962002753208","9.61599373007305","8.59789999854218","7.56413297104561","6.52056711699377","5.92086881746054","5.56906896270257","5.29864532504117","5.02855069893276","4.88713884698822","4.66796482637959","4.48844900991255","4.29964628676342","4.18154390803236","3.63160732664522","3.64513227453686","3.71528853059802","3.77865282364357","",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2700852644044","17.8344745585837","18.31856909567","18.1521899021575","17.4964799242657","16.0572251135789","14.6125550088458","13.6928153985006","13.3028015464017","12.8328869819533","12.3714777832124","11.8060330312612","11.2514508667225","10.9646788638453","10.6976553883174","10.3382407929532","9.88754638575709","9.80579250382306","10.5958429114796","11.5460860685502","12.2806001020066","12.3535657115609","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2520082397634","11.7148649965911","10.9692874286759","10.3462121987659","9.65389661768226","8.87297920110894","7.96993156835725","7.04873284547403","6.14742842426647","5.62303403906763","5.29230882515032","5.03458221450976","4.78742812136604","4.65896437050804","4.47420889610747","4.31400597858418","4.14432763477145","4.03128429942649","3.54716077305706","3.56425116430785","3.64412200949764","3.71097902350997","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.00324167887904","8.04027390722284","7.94033080385408","7.43344866006513","6.68730794483255","5.76202147842212","5.08609014751658","4.57451972449963","4.18193719068802","3.85092051274501","3.60542945899123","3.47363518702751","3.3991309025376","3.30823697452935","3.21539082503798","3.13116122307269","3.0759089385617","3.05393145637599","3.15911122318036","3.26583478403016","3.46032665154965","3.48927195161427","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22850580186907","4.10988123926456","3.99781825684088","3.80365451057922","3.61062113756877","3.37953443529573","3.20206867235401","3.06865520804598","2.96645084556785","2.88424426855526","2.83065956641854","2.79006094126677","2.76619422912431","2.74378836851072","2.71929261995234","2.69608970856414","2.66946199110031","2.65643114708595","2.68248882367345","2.71133404861284","2.76415029267799","2.77341474676495","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1","21.9","21.9","21.8","21.5","21.9","21.2","20.3","15.2","11.5","7.7","8.1","8.2","8.2","8.5","9.1","10.1","11.1","12.6","13.6","14","13.9","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","5","5.5","5.8","5.9","5.5","5.2","5.1","5","5.2","5.3","5.5","5.8","6","6.3","6.5","6.9","6.8","6.7","6.9","7.6","8.5","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65021957342655","2.61361640728623","2.59305409840575","2.58007504067842","2.56823180940838","2.56984420771724","2.56472258867632","2.55709502168563","2.5478557545099","2.54640020980506","2.56098660816162","2.55241629594729","2.54912977565366","2.55059527884844","2.55049820420869","2.54412009213431","2.52520108171458","2.51258983902898","2.50472283192073","2.504720503088","2.50941630412284","2.51713844381585","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
